"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6387","Home link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","6599","All sections are visible","chromium","2026-05-15","passed","2026-05-15","TC005: Wiki page displays correct sections","wiki.spec.js","",""
"","7657","Sign in link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","4910","Sign in page is displayed","chromium","2026-05-15","passed","2026-05-15","TC003: Sign in with empty fields shows error","login.spec.js","",""
"","6080","Search returns results for ""wiki""","chromium","2026-05-15","passed","2026-05-15","TC002: Search works","search.spec.js","",""
"","6898","Projects link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","4976","All columns are visible","chromium","2026-05-15","passed","2026-05-15","TC004: Issues page displays correct columns","issues.spec.js","",""
"","7095","Help link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","6026","Search field is visible","chromium","2026-05-15","passed","2026-05-15","TC002: Search works","search.spec.js","",""
"","6040","Issues page is displayed","chromium","2026-05-15","passed","2026-05-15","TC004: Issues page displays correct columns","issues.spec.js","",""
"","6177","Register link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","6986","Empty fields show error message","chromium","2026-05-15","passed","2026-05-15","TC003: Sign in with empty fields shows error","login.spec.js","",""
